stripe_customer_id,name,email,last_billing_date,metadata_salesforce_id,created
cus_000000004778,Perz,billing@perezinc.com,2026-06-14,,2022-06-29
cus_000000010476,Morales-Jones,billing@moralesjones.com,2026-06-01,001000000000001AAA,2022-03-25
cus_000000024666,"Walter, Edwards and Rios",billing@walteredwardsandrios.com,2026-06-15,001000000000002AAA,2025-08-01
cus_000000039108,Wilkerson-Day,billing@wilkersonday.com,2026-06-10,001000000000003AAA,2022-11-02
cus_000000046219,Baker and Sons,billing@bakerandsons.com,2026-06-15,001000000000004AAA,2024-12-03
cus_000000058849,"Hoffman, Baker and Richards",billing@hoffmanbakerandrichards.com,2026-06-09,001000000000005AAA,2025-08-30
cus_000000065410,"Ross, Robinson and Bright",billing@rossrobinsonandbright.com,2026-06-05,001000000000006AAA,2026-05-04
cus_000000070357,"Snyder, Campos & Callahan",billing@snydercamposandcallahan.com,2026-06-15,,2023-06-28
cus_000000081668,Burton Ltd,billing@burtonltd.com,2026-06-11,001000000000008AAA,2026-01-16
cus_000000091893,Carlson-Cruz,billing@carlsoncruz.com,2026-06-11,001000000000009AAA,2024-04-17
cus_000000102301,"Ferrell, Rice and",billing@ferrellriceandmaddox.com,2026-06-06,,2025-04-14
cus_000000116902,Frazier Inc,billing@frazierinc.com,2026-06-09,001000000000011AAA,2025-04-04
cus_000000127155,"Dyer, Potter and Mack",billing@dyerpotterandmack.com,2026-06-14,001000000000012AAA,2023-10-27
cus_000000139001,rodriguez-graham,billing@rodriguezgraham.com,2026-06-08,,2023-01-22
cus_000000141108,Sith-Bowen,billing@smithbowen.com,2026-06-04,,2022-08-08
cus_000000153912,"Baker, Mason and White",billing@bakermasonandwhite.com,2026-06-07,001000000000015AAA,2023-09-21
cus_000000160455,Harrell LLC,billing@harrellllc.com,2026-06-14,001000000000016AAA,2024-02-06
cus_000000173336,"Romero, Gonzalez and Brooks",billing@romerogonzalezandbrooks.com,2026-06-10,001000000000017AAA,2022-08-16
cus_000000189614,Ryan,billing@ryanplc.com,2026-06-01,,2024-03-30
cus_000000193362,George Group,billing@georgegroup.com,2026-05-01,001000000000019AAA,2023-10-18
cus_000000201072,Rodriguez LLC,billing@rodriguezllc.com,2026-06-02,001000000000020AAA,2023-09-05
cus_000000212011,Allen-Allen,billing@allenallen.com,2026-06-10,001000000000021AAA,2023-07-04
cus_000000224615,"Arroyo, Miller nd Tucker",billing@arroyomillerandtucker.com,2026-06-02,,2022-02-15
cus_000000232114,Spence,billing@spenceplc.com,2026-06-04,,2024-08-15
cus_000000249760,Anderson Group,billing@andersongroup.com,2026-05-11,001000000000024AAA,2022-09-01
cus_000000255507,"Martin, Rose and Obrien",billing@martinroseandobrien.com,2026-06-14,001000000000025AAA,2022-09-25
cus_000000263053,Hickman Ltd,billing@hickmanltd.com,2026-06-13,001000000000026AAA,2022-06-04
cus_000000275318,"Harris, Collins and Carney",billing@harriscollinsandcarney.com,2026-06-01,001000000000027AAA,2023-03-16
cus_000000280546,"Brooks, Lam and Hayes",billing@brookslamandhayes.com,2026-06-04,001000000000028AAA,2023-08-03
cus_000000291123,Walker LLC,billing@walkerllc.com,2026-06-03,001000000000029AAA,2024-10-18
cus_000000300071,Chapman and Sons,billing@chapmanandsons.com,2026-06-09,001000000000030AAA,2025-08-18
cus_000000318841,"Robinson, Jones and",billing@robinsonjonesandwelch.com,2026-06-13,,2022-10-08
cus_000000326684,Jones Inc,billing@jonesinc.com,2026-06-03,001000000000032AAA,2022-12-13
cus_000000336322,Jones-Young,billing@jonesyoung.com,2026-05-07,001000000000033AAA,2024-06-08
cus_000000346354,"Washington, Ryan and Cummings",billing@washingtonryanandcummings.com,2026-06-13,001000000000034AAA,2024-01-05
cus_000000358760,"Johnston, Sanchez and Kennedy",billing@johnstonsanchezandkennedy.com,2026-06-06,001000000000035AAA,2023-06-27
cus_000000360239,Lee-Davis,billing@leedavis.com,2026-01-19,,2023-01-26
cus_000000373215,Gomez-Jenkins,billing@gomezjenkins.com,2026-05-01,001000000000037AAA,2025-12-24
cus_000000388541,"Brown, Valdez and Lucas",billing@brownvaldezandlucas.com,2026-05-05,001000000000038AAA,2023-11-22
cus_000000398932,Powell LLC,billing@powellllc.com,2026-06-10,001000000000039AAA,2024-11-20
cus_000000409139,Wright and Sons,billing@wrightandsons.com,2026-06-12,001000000000040AAA,2024-04-27
cus_000000422931,Baxter Inc,billing@baxterinc.com,2026-06-11,001000000000042AAA,2025-03-12
cus_000000431203,Morton-Chase,billing@mortonchase.com,2026-06-07,001000000000043AAA,2026-02-15
cus_000000444399,Williams PLC,billing@williamsplc.com,2026-03-20,001000000000044AAA,2023-08-18
cus_000000452957,Novak and Sons,billing@novakandsons.com,2026-05-02,001000000000045AAA,2025-02-20
cus_000000468837,Russell Group,billing@russellgroup.com,2026-06-03,001000000000046AAA,2025-01-05
cus_000000470366,Hancock Inc,billing@hancockinc.com,2026-06-07,001000000000047AAA,2026-01-12
cus_000000486338,Gray Group,billing@graygroup.com,2026-05-05,001000000000048AAA,2023-09-04
cus_000000499060,House-Glover,billing@houseglover.com,2026-05-02,001000000000049AAA,2024-07-03
cus_000000509765,Henderson-Bernard,billing@hendersonbernard.com,2026-06-04,001000000000050AAA,2023-03-11
cus_000000516500,"Stanley, Tucker and Lee",billing@stanleytuckerandlee.com,2026-06-10,001000000000051AAA,2026-04-21
