subscription_item_id,stripe_customer_id,price_nickname,unit_amount,currency,billing_interval,quantity
si_00000000_0,cus_000000004778,Hiring,6698,usd,month,4
si_00000001_0,cus_000000010476,Hiring,6916,usd,month,2
si_00000001_1,cus_000000010476,HR,9222,usd,month,2
si_00000002_0,cus_000000024666,Hiring,7858,usd,month,1
si_00000003_0,cus_000000039108,Hiring,5956,usd,month,6
si_00000003_1,cus_000000039108,HR,7942,usd,month,6
si_00000003_2,cus_000000039108,Payroll,1112,usd,month,78
si_00000004_0,cus_000000046219,Hiring,7317,usd,month,6
si_00000004_1,cus_000000046219,HR,9756,usd,month,6
si_00000004_2,cus_000000046219,Payroll,1366,usd,month,114
si_00000005_0,cus_000000058849,Hiring,6992,usd,month,1
si_00000006_0,cus_000000065410,Hiring,6667,usd,month,9
si_00000006_1,cus_000000065410,HR,8890,usd,month,9
si_00000006_2,cus_000000065410,Payroll,1245,usd,month,117
si_00000007_0,cus_000000070357,Hiring,91284,usd,year,2
si_00000007_1,cus_000000070357,HR,121704,usd,year,2
si_00000007_2,cus_000000070357,Payroll,17040,usd,year,14
si_00000008_0,cus_000000081668,Hiring,4500,usd,month,2
si_00000009_0,cus_000000091893,Hiring,101424,usd,year,1
si_00000010_0,cus_000000102301,Hiring,5400,usd,month,5
si_00000010_1,cus_000000102301,HR,7200,usd,month,5
si_00000011_0,cus_000000116902,Hiring,6883,usd,month,5
si_00000011_1,cus_000000116902,HR,9177,usd,month,5
si_00000012_0,cus_000000127155,Hiring,5480,usd,month,3
si_00000012_1,cus_000000127155,HR,7306,usd,month,3
si_00000013_0,cus_000000139001,HR,9818,usd,month,5
si_00000014_0,cus_000000141108,Hiring,6410,usd,month,4
si_00000014_1,cus_000000141108,HR,8547,usd,month,4
si_00000015_0,cus_000000153912,Hiring,92544,usd,year,15
si_00000015_1,cus_000000153912,HR,123396,usd,year,15
si_00000016_0,cus_000000160455,Hiring,9375,usd,month,4
si_00000016_1,cus_000000160455,HR,12500,usd,month,4
si_00000016_2,cus_000000160455,Payroll,1750,usd,month,156
si_00000017_0,cus_000000173336,Hiring,89772,usd,year,5
si_00000018_0,cus_000000189614,Hiring,6681,usd,month,4
si_00000018_1,cus_000000189614,HR,8909,usd,month,4
si_00000019_0,cus_000000193362,Hiring,66408,usd,year,5
si_00000019_1,cus_000000193362,HR,88548,usd,year,5
si_00000020_0,cus_000000201072,Hiring,65796,usd,year,1
si_00000020_1,cus_000000201072,Payroll,12276,usd,year,18
si_00000021_0,cus_000000212011,Hiring,7622,usd,month,10
si_00000021_1,cus_000000212011,HR,10163,usd,month,10
si_00000021_2,cus_000000212011,Payroll,1423,usd,month,320
si_00000022_0,cus_000000224615,Hiring,6015,usd,month,3
si_00000023_0,cus_000000232114,Hiring,5435,usd,month,1
si_00000023_1,cus_000000232114,HR,7247,usd,month,1
si_00000024_0,cus_000000249760,Hiring,7391,usd,month,1
si_00000024_1,cus_000000249760,HR,9854,usd,month,1
si_00000024_2,cus_000000249760,Payroll,1380,usd,month,34
si_00000025_0,cus_000000255507,Hiring,7032,usd,month,2
