contract_id,account_id,start_date,end_date,contract_term_months,acv__c,number_of_licenses__c
800000000000001AAA,001000000000001AAA,2025-12-02,2026-12-01,12,3873.12,2
800000000000002AAA,001000000000002AAA,2025-08-19,2027-08-18,24,1885.92,2
800000000000003AAA,001000000000003AAA,2023-08-28,2025-08-27,24,20414.88,6
800000000000004AAA,001000000000004AAA,2026-03-17,2028-03-16,24,30979.44,6
800000000000006AAA,001000000000006AAA,2024-02-16,2026-02-15,24,34281.36,9
800000000000009AAA,001000000000009AAA,2025-10-11,2027-10-10,24,1014.24,1
800000000000010AAA,001000000000010AAA,2025-11-01,2027-10-31,24,7560.00,5
800000000000017AAA,001000000000017AAA,2024-04-13,2025-04-12,12,4488.60,5
800000000000019AAA,001000000000019AAA,2026-04-28,2028-04-27,24,7747.80,5
800000000000021AAA,001000000000021AAA,2023-07-17,2024-07-16,12,75985.20,10
800000000000022AAA,001000000000022AAA,2026-02-14,2028-02-13,24,2165.40,3
800000000000023AAA,001000000000023AAA,2023-01-06,2025-01-05,24,1521.84,1
800000000000027AAA,001000000000027AAA,2022-07-25,2025-07-24,36,3646.08,3
800000000000029AAA,001000000000029AAA,2025-01-15,2026-01-14,12,845.76,1
800000000000035AAA,001000000000035AAA,2026-02-09,2027-02-08,12,2160.00,4
800000000000036AAA,001000000000036AAA,2024-07-25,2025-07-24,12,6678.00,1
800000000000037AAA,001000000000037AAA,2026-05-03,2028-05-02,24,7284.00,5
800000000000039AAA,001000000000039AAA,2025-09-02,2026-09-01,12,5078.76,1
800000000000040AAA,001000000000040AAA,2023-03-06,2025-03-05,24,9941.40,5
800000000000041AAA,001000000000041AAA,2026-03-23,2027-03-22,12,20924.16,4
800000000000042AAA,001000000000042AAA,2026-03-29,2027-03-28,12,2691.36,2
800000000000050AAA,001000000000050AAA,2025-12-29,2026-12-28,12,3343.68,4
800000000000052AAA,001000000000052AAA,2026-01-16,2028-01-15,24,10376.16,4
800000000000053AAA,001000000000053AAA,2025-11-19,2026-11-18,12,5351.76,2
800000000000054AAA,001000000000054AAA,2026-02-06,2027-02-05,12,20493.36,3
800000000000056AAA,001000000000056AAA,2023-03-10,2026-03-09,36,4302.96,2
800000000000057AAA,001000000000057AAA,2022-04-24,2025-04-23,36,2705.76,3
800000000000058AAA,001000000000058AAA,2026-02-16,2027-02-15,12,2233.92,2
800000000000059AAA,001000000000059AAA,2024-09-07,2025-09-06,12,2364.48,3
800000000000060AAA,001000000000060AAA,2025-11-08,2026-11-07,12,13125.00,5
800000000000065AAA,001000000000065AAA,2026-05-06,2027-05-05,12,7875.00,3
800000000000066AAA,001000000000066AAA,2026-01-26,2027-01-25,12,748.68,1
800000000000067AAA,001000000000067AAA,2026-02-22,2027-02-21,12,28131.00,5
800000000000072AAA,001000000000072AAA,2025-02-05,2026-02-04,12,40770.00,6
800000000000073AAA,001000000000073AAA,2026-01-06,2027-01-05,12,12119.04,2
800000000000075AAA,001000000000075AAA,2024-11-23,2025-11-22,12,14340.24,6
800000000000077AAA,001000000000077AAA,2024-09-04,2025-09-03,12,32851.44,9
800000000000078AAA,001000000000078AAA,2024-03-08,2027-03-07,36,2690.28,3
800000000000081AAA,001000000000081AAA,2024-08-25,2025-08-24,12,10804.80,5
800000000000083AAA,001000000000083AAA,2024-10-28,2026-10-27,24,12760.20,5
800000000000084AAA,001000000000084AAA,2026-04-22,2027-04-21,12,7814.16,2
800000000000087AAA,001000000000087AAA,2024-09-14,2025-09-13,12,4026.60,5
800000000000088AAA,001000000000088AAA,2024-05-25,2025-05-24,12,14888.28,11
800000000000089AAA,001000000000089AAA,2025-08-19,2026-08-18,12,25700.76,3
800000000000090AAA,001000000000090AAA,2025-11-29,2026-11-28,12,1990.80,3
800000000000091AAA,001000000000091AAA,2024-05-22,2025-05-21,12,6899.04,4
800000000000092AAA,001000000000092AAA,2026-02-08,2027-02-07,12,18928.32,8
800000000000095AAA,001000000000095AAA,2025-11-26,2026-11-25,12,13950.72,4
800000000000098AAA,001000000000098AAA,2024-09-21,2026-09-20,24,12024.60,5
800000000000102AAA,001000000000102AAA,2025-11-16,2026-11-15,12,28174.56,4
800000000000104AAA,001000000000104AAA,2022-10-14,2024-10-13,24,1242.72,2
800000000000106AAA,001000000000106AAA,2026-04-28,2027-04-27,12,10681.44,2
800000000000107AAA,001000000000107AAA,2022-09-04,2024-09-03,24,1623.24,1
800000000000109AAA,001000000000109AAA,2026-03-02,2027-03-01,12,2246.16,1
800000000000110AAA,001000000000110AAA,2024-07-30,2025-07-29,12,6084.72,3
800000000000112AAA,001000000000112AAA,2026-03-23,2027-03-22,12,26687.64,7
800000000000113AAA,001000000000113AAA,2025-12-27,2026-12-26,12,5418.36,9
800000000000114AAA,001000000000114AAA,2025-11-16,2026-11-15,12,860.28,1
800000000000115AAA,001000000000115AAA,2024-12-16,2025-12-15,12,2075.76,2
800000000000117AAA,001000000000117AAA,2026-02-18,2027-02-17,12,9353.28,4
800000000000119AAA,001000000000119AAA,2023-09-25,2026-09-24,36,11054.52,3
800000000000120AAA,001000000000120AAA,2024-11-01,2025-10-31,12,3918.72,2
800000000000121AAA,001000000000121AAA,2024-03-13,2025-03-12,12,4672.32,4
800000000000123AAA,001000000000123AAA,2024-09-14,2025-09-13,12,1808.76,1
800000000000125AAA,001000000000125AAA,2024-09-12,2026-09-11,24,6515.88,1
800000000000126AAA,001000000000126AAA,2026-02-05,2027-02-04,12,10819.20,10
800000000000127AAA,001000000000127AAA,2024-09-14,2025-09-13,12,8082.24,4
800000000000128AAA,001000000000128AAA,2025-09-26,2026-09-25,12,4198.20,5
800000000000129AAA,001000000000129AAA,2026-01-09,2027-01-08,12,11958.12,3
800000000000130AAA,001000000000130AAA,2023-02-03,2025-02-02,24,7257.60,8
