account_id,account_name,billing_state,customer_arr__c,number_of_locations__c,csm_name__c,account_ae,created_date
001000000000000AAA,Perez Inc,OH,3215.04,4,,Dylan Miller,2022-06-14
001000000000001AAA,Morales-Jones,NC,3873.12,2,,Michele Williams,2022-02-27
001000000000002AAA,"Walter, Edwards and Rios",PA,1885.92,2,Noah Rhodes,Lisa Jackson,2025-07-12
001000000000003AAA,Wilkerson-Day,PA,20414.88,6,,Lisa Hensley,2022-10-23
001000000000004AAA,Baker and Sons,FL,30979.44,6,,Michele Williams,2024-12-03
001000000000005AAA,"Hoffman, Baker and Richards",IL,839.04,1,,Carla Gray,2025-08-29
001000000000006AAA,"Ross, Robinson and Bright",NC,34281.36,9,,Dylan Miller,2026-04-24
001000000000007AAA,"Snyder, Campos and Callahan",WA,13290.72,4,Connie Lawrence,Lisa Hensley,2023-05-31
001000000000008AAA,Burton Ltd,CA,1080.00,2,,Carla Gray,2026-01-08
001000000000009AAA,Carlson-Cruz,PA,1014.24,1,,Margaret Hawkins DDS,2024-04-14
001000000000010AAA,"Ferrell, Rice and Maddox",CA,7560.00,5,Abigail Shaffer,Michele Williams,2025-03-22
001000000000011AAA,Frazier Inc,UT,9636.00,5,,Margaret Hawkins DDS,2025-03-12
001000000000012AAA,"Dyer, Potter and Mack",CO,7671.60,5,Allison Hill,Michele Williams,2023-10-16
001000000000013AAA,Rodriguez-Graham,PA,5890.80,5,,Dylan Miller,2023-01-02
001000000000014AAA,Smith-Bowen,NY,7179.36,4,Angie Henderson,Margaret Hawkins DDS,2022-08-02
001000000000015AAA,"Baker, Mason and White",PA,43188.00,20,Allison Hill,Dylan Miller,2023-09-01
001000000000016AAA,Harrell LLC,CO,43260.00,4,,Monica Herrera,2024-01-30
001000000000017AAA,"Romero, Gonzalez and Brooks",GA,4488.60,5,,Lisa Jackson,2022-07-26
001000000000018AAA,Ryan PLC,NC,7483.20,4,,Lisa Hensley,2024-03-15
001000000000019AAA,George Group,TX,7747.80,5,,Brian Ramirez,2023-09-24
001000000000020AAA,Rodriguez LLC,AZ,2867.64,1,,Brian Ramirez,2023-09-02
001000000000021AAA,Allen-Allen,NY,75985.20,10,,Lisa Jackson,2023-06-26
001000000000022AAA,"Arroyo, Miller and Tucker",IL,2165.40,3,,Monica Herrera,2022-02-04
001000000000023AAA,Spence PLC,TN,1521.84,1,Allison Hill,Carla Gray,2024-08-08
001000000000024AAA,Anderson Group,WA,15399.60,2,Gabrielle Davis,Lisa Jackson,2022-08-18
001000000000025AAA,"Martin, Rose and Obrien",NC,1687.68,2,Allison Hill,Jamie Arnold,2022-08-29
001000000000026AAA,Hickman Ltd,WA,11058.96,11,,Dylan Miller,2022-05-21
001000000000027AAA,"Harris, Collins and Carney",NC,3646.08,3,,Holly Wood,2023-03-08
001000000000028AAA,"Brooks, Lam and Hayes",UT,5250.00,2,,Jamie Arnold,2023-07-26
001000000000029AAA,Walker LLC,CA,845.76,1,Allison Hill,Carla Gray,2024-09-28
001000000000030AAA,Chapman and Sons,TX,4289.76,3,,Margaret Hawkins DDS,2025-08-09
001000000000031AAA,"Robinson, Jones and Welch",TN,23379.00,5,,Holly Wood,2022-09-18
001000000000032AAA,Jones Inc,CA,13581.60,2,,Monica Herrera,2022-12-05
001000000000033AAA,Jones-Young,CO,9048.48,4,,Lisa Hensley,2024-06-02
001000000000034AAA,"Washington, Ryan and Cummings",OH,7353.36,1,,Ryan Munoz,2023-12-16
001000000000035AAA,"Johnston, Sanchez and Kennedy",OH,2160.00,4,,Margaret Hawkins DDS,2023-05-31
001000000000036AAA,Lee-Davis,AZ,6678.00,1,,Monica Herrera,2023-01-10
001000000000037AAA,Gomez-Jenkins,WA,7284.00,5,Angie Henderson,Carla Gray,2025-12-06
001000000000038AAA,"Brown, Valdez and Lucas",CO,5515.20,2,Gina Moore,Jamie Arnold,2023-11-15
001000000000039AAA,Powell LLC,TX,5078.76,1,,Monica Herrera,2024-10-25
001000000000040AAA,Wright and Sons,UT,9941.40,5,,Brian Ramirez,2024-04-25
001000000000041AAA,"West, Henderson and Ramirez",NY,20924.16,4,,Lisa Jackson,2024-12-01
001000000000042AAA,Baxter Inc,OH,2691.36,2,,Lisa Jackson,2025-03-09
001000000000043AAA,Morton-Chase,CA,4479.36,2,,Lisa Hensley,2026-02-14
001000000000044AAA,Williams PLC,CA,5094.72,2,Angie Henderson,Monica Herrera,2023-08-16
001000000000045AAA,Novak and Sons,NY,3322.08,6,,Jamie Arnold,2025-01-22
001000000000046AAA,Russell Group,PA,18197.76,8,,Derek Zuniga,2024-12-08
001000000000047AAA,Hancock Inc,CO,6010.08,4,,Michele Williams,2025-12-24
001000000000048AAA,Gray Group,NC,14432.04,3,Abigail Shaffer,Brian Ramirez,2023-09-01
001000000000049AAA,House-Glover,NY,2320.20,3,,Jamie Arnold,2024-06-21
001000000000050AAA,Henderson-Bernard,CO,3343.68,4,,Carla Gray,2023-03-08
001000000000051AAA,"Stanley, Tucker and Lee",OH,7886.16,9,,Dylan Miller,2026-04-18
001000000000052AAA,Novak PLC,CA,10376.16,4,,Dylan Miller,2023-04-02
001000000000053AAA,"Daniels, Adkins and Brown",TX,5351.76,2,,Michele Williams,2023-09-11
001000000000054AAA,"Woods, Calhoun and Schmidt",TX,20493.36,3,Abigail Shaffer,Ryan Munoz,2022-07-06
001000000000055AAA,Yu Inc,NC,4410.00,2,,Jamie Arnold,2022-04-12
001000000000056AAA,"Hensley, Powell and David",FL,4302.96,2,,Michele Williams,2025-09-22
001000000000057AAA,"Sanchez, Wheeler and Harvey",PA,2705.76,3,,Monica Herrera,2025-11-08
